Country,Number_of_Articles,Number of Open Access Articlesinfo,5-Year Cited Articlesinfo,5-Year Citationsinfo,,Country2,Date-pop,Population_1000,Taux_open,Pub_hab,rowid,Country3
Ghana,5162,3325,630204,1204936,,Ghana,2022,33475.87,"0,644130182099961","0,154200622717199",84,Ghana
Gibraltar,47,24,6443,10564,,Gibraltar,2022,32.65,"0,51063829787234","1,43950995405819",89,Greece
Greece,16516,11057,7225837,9472752,,Greece,2022,10566.53,"0,669472027125212","1,56304860725328",91,Greenland
Greenland,101,79,36733,49008,,Greenland,2022,56.66,"0,782178217821782","1,78256265442993",90,Grenada
Grenada,211,139,30655,59322,,Grenada,2022,125.44,"0,658767772511848","1,68207908163265",241,Grenadines
Guadeloupe,79,42,34923,46249,,,,,"0,531645569620253",#DIV/0 !,76,Guadeloupe
Guatemala,671,543,93058,126015,,Guatemala,2022,17357.89,"0,809239940387481","0,038656772222891",92,Guatemala
Guinea,233,198,31524,39091,,Guinea,2022,13859.34,"0,849785407725322","0,016811767371318",85,Guinea
Guinea-Bissau,40,31,14884,17206,,Guinea-Bissau,2022,2105.57,"0,775","0,018997231153559",87,Guinea-Bissau
Guyana,107,68,13732,19133,,Guyana,2022,808.73,"0,635514018691589","0,132306208499747",94,Guyana
Haiti,131,91,29761,39808,,Haiti,2022,11585,"0,694656488549618","0,011307725507121",98,Haiti
Honduras,360,290,35843,56945,,Honduras,2022,10432.86,"0,805555555555556","0,034506357796424",96,Honduras
Hungary,10185,7425,3799777,5055290,,Hungary,2022,9683.5,"0,729013254786451","1,0517891258326",99,Hungary
Iceland,1252,785,855112,756880,,Iceland,2022,381.9,"0,626996805111821","3,27834511652265",109,Iceland
India,151501,53748,27013452,53742398,,India,2022,1417173.17,"0,354769935511977","0,106903660898407",102,India
Indonesia,122255,102297,1322003,3701545,,Indonesia,2022,275501.34,"0,836751053126661","0,443754647436561",100,Indonesia
Iran,43911,18981,8610387,19356076,,"Iran Islamic Rep,",2022,88550.57,"0,432260709161713","0,495886136023743",107,Iran
Iraq,13711,9375,430594,1409693,,Iraq,2022,44496.12,"0,683757566917074","0,308139226521324",108,Iraq
Ireland,13311,8479,6463600,7303708,,Ireland,2022,5086.99,"0,636991961535572","2,61667508683917",106,Ireland
Israel,17444,8781,14410046,12933757,,Israel,2022,9550.6,"0,503382251777115","1,82648210583628",110,Israel
Italy,91295,60918,47080354,55578719,,Italy,2022,58856.85,"0,667265458130237","1,55113635880955",111,Italy
Jamaica,358,207,204602,219947,,Jamaica,2022,2827.38,"0,578212290502793","0,126618990019028",113,Jamaica
Japan,92662,45103,62658783,62523517,,Japan,2022,125124.99,"0,486747534048477","0,7405555037407",116,Japan
